"Benchmark","Mode","Threads","Samples","Score","Score Error (90.0%)","Relative Score Error (90.0%)","Score Error (95.0%)","Relative Score Error (95.0%)","Score Error (99.9%)","Relative Score Error (99.9%)","Median Score","Median Absolute Deviation","Relative Median Absolute Deviation","Unit","Param: dataType","Param: multimapValueSize","Param: producer","Param: run","Param: sampleDataSelection","Param: size","Param: stepSizeOneToOneSelector","Param: valueFactoryFactory"
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,26.572149,0.094179,0.003544,0.116221,0.004374,0.245625,0.009244,26.528327,0.087547,0.003300,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8192,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,35.032433,0.246030,0.007023,0.303614,0.008667,0.641668,0.018316,34.872428,0.235456,0.006752,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8192,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,28.268547,0.189820,0.006715,0.234248,0.008287,0.495067,0.017513,28.174097,0.255648,0.009074,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16384,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,37.569123,0.361464,0.009621,0.446065,0.011873,0.942727,0.025093,37.509101,0.181344,0.004835,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16384,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,29.348754,0.178949,0.006097,0.220832,0.007524,0.466714,0.015902,29.257866,0.066240,0.002264,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32768,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,36.749112,0.163840,0.004458,0.202188,0.005502,0.427310,0.011628,36.731755,0.090775,0.002471,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32768,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,29.476206,0.148637,0.005043,0.183426,0.006223,0.387658,0.013152,29.367772,0.199457,0.006792,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,65536,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,40.215873,0.277954,0.006912,0.343009,0.008529,0.724926,0.018026,40.339512,0.312445,0.007745,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,65536,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,28.909381,0.119780,0.004143,0.147815,0.005113,0.312397,0.010806,28.846812,0.081388,0.002821,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,131072,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,38.421566,0.216382,0.005632,0.267026,0.006950,0.564342,0.014688,38.464315,0.134108,0.003487,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,131072,1,VF_CHAMP_MULTIMAP_HHAMT
