elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
2,1,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,248,10,16
2,1,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,304,10,31
2,2,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,104,4,8
2,2,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,104,4,8
2,2,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,104,4,8
2,2,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,88,3,6
2,2,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,184,7,13
2,2,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,160,6,12
2,2,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,168,6,11
2,2,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,144,5,10
2,2,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,112,4,8
2,2,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,344,14,20
2,2,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,304,10,31
2,3,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,104,4,8
2,3,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,104,4,8
2,3,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,104,4,8
2,3,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,88,3,6
2,3,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,184,7,13
2,3,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,160,6,12
2,3,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,168,6,11
2,3,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,144,5,10
2,3,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,112,4,8
2,3,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,248,10,16
2,3,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,304,10,31
2,4,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,104,4,8
2,4,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,104,4,8
2,4,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,104,4,8
2,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,88,3,6
2,4,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,184,7,13
2,4,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,160,6,12
2,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,168,6,11
2,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,144,5,10
2,4,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,112,4,8
2,4,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,248,10,16
2,4,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,304,10,31
4,0,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,120,4,12
4,0,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,120,4,12
4,0,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,120,4,12
4,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,104,3,10
4,0,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,280,10,22
4,0,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,232,8,20
4,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,264,9,20
4,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,216,7,18
4,0,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,152,5,14
4,0,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,440,17,30
4,0,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,464,15,47
4,1,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,176,6,15
4,1,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,176,6,15
4,1,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,176,6,15
4,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,144,4,11
4,1,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,392,14,28
4,1,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,344,12,26
4,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,SET_MULTIMAP,PERSISTENT,false,360,12,24
4,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,312,10,22
4,1,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED_PATH_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,216,7,16
4,1,VF_SCALA,SET_MULTIMAP,PERSISTENT,false,440,17,30
4,1,VF_CLOJURE,SET_MULTIMAP,PERSISTENT,false,608,19,67
4,2,VF_CHAMP_MAP_AS_MULTIMAP,MAP,PERSISTENT,false,120,4,12
4,2,VF_CHAMP_MULTIMAP_HCHAMP,MAP,PERSISTENT,false,120,4,12
4,2,VF_CHAMP_MULTIMAP_HHAMT,MAP,PERSISTENT,false,120,4,12
4,2,VF_CHAMP_MULTIMAP_HHAMT_SPECIALIZED,MAP,PERSISTENT,false,104,3,10
4,2,VF_CHAMP_MULTIMAP_HHAMT,SET_MULTIMAP,PERSISTENT,false,280,10,22
4,2,VF_CHAMP_MULTIMAP_HHAMT_INTERLINKED,SET_MULTIMAP,PERSISTENT,false,232,8,20
